Product ID,Title,SKU,Price,Currency,Stock,Class,Store,Category,Brand,Alias,Images,Enabled,Description,Meta title,Meta description,Related,Width,Height,Length,Dimension unit,Weight,Weight unit
,Casio Men's EF527D-1AV Edifice Stainless Steel Multi-Function Watch,EF527D-1AV,115.99,USD,1,,1,Men's Watches,Casio,*,https://gplcart.github.io/demo/content/default/images/EF527D-1AV/1.jpg,yes,"The Casio Men's Edifice Stainless Steel Multi-Function Chronograph Watch exists at the crossroads of comfort, style and functionality…which is where you should be. This dynamic timepiece kicks off with a 45.5mm stainless steel case and a stationary bezel with a textured edge. There are also pushers on both sides of the case, along with a protected screw-down crown on the right side. The watch's black dial is a flurry of function with a sliding inner bezel, silver-toned hour markers and hands, which are powered by quartz movement. The dial also features three chronograph sub-dials with 12-hour, 60-minute and 60-second displays, along with a date display window at the 3 'o clock position. The stainless steel three-link bracelet straps this watch to the wrist, while a fold-over push-button clasp with a safety ensures that it stays there. Finally, this watch offers water resistance up to 330 feet (100 meters). ", ,,,,,,,,
,Casio Men's EQS500DB-1A1 Edifice Tough Solar Stainless Steel Multi-Function Watch with Link Bracelet,EQS500DB-1A1,166,USD,1,,1,Men's Watches,Casio,*,https://gplcart.github.io/demo/content/default/images/EQS500DB-1A1/1.jpg,yes,"This Self-Charging Edifice model eliminates the need for battery changes through its unique Solar Powered system. Robust enough to power functions, such as its 1/100th Chronograph, 29-City World Time and Daily Alarm, the EQS500DB-1A1 is not only intelligent, it’s tough also. The solid stainless steel case with mineral glass is water resistant up to 100 meters. From Casio, a towering edifice in the watch world comes the Casio Men's Edifice Stainless Steel Multi-Function Chronograph Watch. It kicks off with a 45.8mm stainless steel case with a black-toned stainless steel stationary bezel. The crown and pushers grace both sides of the stainless steel case. These elements cradle a black dial that is a flurry of function protected by a mineral crystal. The dial features silver-toned luminous hour markers and hands powered by precise quartz movement. The dial also features chronograph sub-dials with 1/100-second, day, 60-second and 24-hour displays. A three-link stainless steel bracelet straps this watch to the wrist, while a fold-over push-button safety clasp makes sure it stays there. This watch also features solar power, a full auto calendar and water resistance up to 330 feet (100 meters). Note:If the watch is in any mode other then timekeeping the second hand will not spin (unless chronograph is actually running) The way to find out what mode you are in please check the sub-dial located at the 3:00 position if it is not pointing to the day of the week then the watch is not in timekeeping mode thus the second hand will not spin. ", ,,,,,,,,
,Casio Men's SGW500H-2BV Resin Analog Digital Twin Sensor Multi-Function Watch,SGW500H-2BV,68.49,USD,1,,1,Men's Watches,Casio,*,https://gplcart.github.io/demo/content/default/images/SGW500H-2BV/1.jpg,yes,"This new Twin Sensor model features temperature and direction sensors in a large easy-to-read analog-digital format, in addition to a large case with easy-to-press buttons. Direction readings are displayed within the digital window, while the second hand acts as a compass needle to indicate magnetic north. The watch also features sunrise/sunset data so you can know how much longer to hike or how much light you might have left to capture some great photography on your next adventure. ", ,,, ,,,,,
,Citizen Men's AW1510-54L Drive - WDR Collection Blue Dial Silvertone Stainless Steel Watch,AW1510-54L,160,USD,1,,1,Men's Watches,Citizen,*,https://gplcart.github.io/demo/content/default/images/AW1510-54L/1.jpg,yes,This watch features a brilliant blue dial adorned with large grey Arabic numerals and markers. A day window provides convenient reference while the whole piece gently rests on the wrist with a comfortable stainless steel bracelet. The silvertone piece is water resistant up to 100 meters. , ,,,,,,,,
,Citizen Men's AW1361-10H Eco-Drive Avion Watch,AW1361-10H,146,USD,1,,1,Men's Watches,Citizen,*,https://gplcart.github.io/demo/content/default/images/AW1361-10H/1.jpg,yes,"Avion is a vintage-inspired timepiece reminiscent of transatlantic flights from the 1950's. Design cues taken from the golden age of travel include the rich brown leather strap with contrast stitching, oversized luminous numbers and classic day/date function. In a stainless steel case with charcoal grey dial.", ,,,,,,,,
,Citizen Men's JY0000-53E Eco-Drive Skyhawk AT Watch,JY0000-53E,520,USD,1,,1,Men's Watches,Citizen,*,https://gplcart.github.io/demo/content/default/images/JY0000-53E/1.jpg,yes,"Redefine atomic timekeeping with radio-controlled accuracy in 4 zones combined with Eco-Drive technology. World time in 43 cities, 1/100 second chrono up to 24 hours, perpetual calendar, 99-minute countdown timer, power reserve & 2 alarms. Includes GMT, rotating slide rule bezel, non-reflective crystal. Stainless steel with black ion plated bezel.", ,,,,,,,,
,Citizen Women's EP5914-07A Eco-Drive Straps Watch,EP5914-07A,140,USD,1,,1,Women's Watches,Citizen,*,https://gplcart.github.io/demo/content/default/images/EP5914-07A/1.jpg,yes,"A watch for every day and every occasion. A stylish appearance dressed up or dressed down. In stainless steel with a dark brown leather strap. Gold accents on the crown, index and hands complete the look.", ,,,,,,,,
,Citizen Women's EW2294-53L Eco-Drive Corso Watch,EW2294-53L,200,USD,1,,1,Women's Watches,Citizen,*,https://gplcart.github.io/demo/content/default/images/EW2294-53L/1.jpg,no,"Sporty yet elegant, Corso allows you to stand out from the crowd with its contemporary 3-hand look with date and water resistance to 100 meters. Also featuring a sporty deep blue dial on a two-tone stainless steel case and bracelet. ", ,,,,,,,,
,Citizen Women's FE1154-57A Silhouette Crystal Watch,FE1154-57A,260,USD,1,,1,Women's Watches,Citizen,*,https://gplcart.github.io/demo/content/default/images/FE1154-57A/1.jpg,yes,Freshen up your watch collection this season ladies with the new Citizen Silhouette Crystal. Fashion forward and ready to be shown off with a unique decorated dial with Swarovski crystals. Shown here in a two-tone stainless steel case and bracelet with silver dial featuring date., ,,,,,,,,
,Tissot Men's T0356143605100 'Couturier Valjoux' Automatic Chronograph Black Leather Watch,T0356143605100,1499,USD,1,,1,Men's Watches,Tissot,*,https://gplcart.github.io/demo/content/default/images/T0356143605100/1.jpg,yes,This men's watch from the Couturier Valjoux collection features a black leather strap and black automatic chronograph dial,,,,,,,,,
,Tissot Women's T41118335 Le Locle Automatic Stainless Steel Watch,T41118335,577.49,USD,1,,1,Women's Watches,Tissot,*,https://gplcart.github.io/demo/content/default/images/T41118335/1.jpg,no,This women's watch from the Le Locle Double Happiness collection features a stainless steel bracelet and white automatic dial.,,,,,,,,,
,Tissot Women's T0842101601704 T-Trend Pinky Brown Leather Watch,T0842101601704,289.49,USD,1,,1,Women's Watches,Tissot,*,https://gplcart.github.io/demo/content/default/images/T0842101601704/1.jpg,yes,This women's watch from the T-Trend Pinky collection features a brown leather strap and silver dial.,,,,,,,,,
,Tissot Women's T0373091103701 My-T Crystal Watch,T0373091103701,1740,USD,1,,1,Women's Watches,Tissot,*,https://gplcart.github.io/demo/content/default/images/T0373091103701/1.jpg,yes,Fluid Elegance. This Tissot My-T watch comes with a case set in motion by T-shaped elements attaching it to the bracelet. Genuine diamonds sparkle on the stainless steel bezel.,,,,,,,,,
,Timex Men's T49851 Expedition Rugged Digital Vibration Alarm Watch,T49851,34,USD,1,,1,Men's Watches,Timex,*,https://gplcart.github.io/demo/content/default/images/T49851/1.jpg,yes,"A vibrating alarm function, 100-hour chronograph and three time zone settings are featured on this digital watch from Timex. An Indiglo night light, black dial and resin strap finish this unique Expedition timepiece.  The watch is water resistant up to a depth of 100 meters or 330 feet. This makes it ideal for swimmers and those actively involved in outdoor activities during inclement weather. It features an auto-repeat alarm system with three different alert types: vibration, sound, or both. Other useful features include a timer and a stopwatch in situations where timing is critical.",,,,,,,,,
,Timex Men's T2N720DH Intelligent Quartz Tide-Temp-Compass Watch,T2N720DH,136,USD,1,,1,Men's Watches,Timex,*,https://gplcart.github.io/demo/content/default/images/T2N720DH/1.jpg,yes,"With multiple functions including a tide tracker, temperature sensor and electronic compass all driven by a dedicated fourth hand the Timex® Tide-Temp-Compass is the ultimate accessory for the tech savvy professional with a love for adventure.",,,,,,,,,
,Timex Men's T45181 Expedition Analog-Digital Nylon Strap Watch,T45181,34,USD,1,,1,Men's Watches,Timex,*,https://gplcart.github.io/demo/content/default/images/T45181/1.jpg,yes,"A classic analog style with easy-to-read digital display is featured on this men's watch from Timex. A durable and lightweight olive green resin case comes and a brown nylon performance strap complete this rugged timepiece. Keep track of time on camping or hiking trips with this durable watch by Timex. Luminescent hands on the watch's face let you tell time in the dark, and the tang buckle keeps the nylon strap secure on your wrist for comfortable all-day wear. Water resistant to 330 feet, this watch can be worn with confidence in virtually any outdoor setting.",,,,,,,,,
,Timex Men's TW4B044009J Expedition Scout Chrono Tan Leather Slip-Thru Strap Watch,TW4B044009J,70,USD,1,,1,Men's Watches,Timex,*,https://gplcart.github.io/demo/content/default/images/TW4B044009J/1.jpg,no,"This time-honored best-seller just got a little better. We've upgraded our ulitarian field watch with a 30-minute chronograph, a well built oversized case, and of course, our signature arrow second hand.",,,,,,,,,
,Timex Men's T2N065 Elevated Classics Dress Brown Leather Strap Watch,T2N065,35,USD,1,,1,Men's Watches,Timex,*,https://gplcart.github.io/demo/content/default/images/T2N065/1.jpg,yes,"A brown leather strap with crocodile texture adds a dressy touch to the classic styling of this men's watch from Timex. The white dial is easy to read and is surrounded by a goldtone case. The simple, sophisticated look of this watch pairs well with your classic style, and the accuracy of the quartz movement keeps you on time. The large watch face makes it easy to see the time even with a quick surreptitious glance during a long meeting, and the Timex backlight feature lets you sneak a look during a long movie.",,,,,,,,,
,Timex Women's TW2P688009J Easy Reader Honey Brown Crocodile Leather Strap Watch,TW2P688009J,35,USD,1,,1,Women's Watches,Timex,*,https://gplcart.github.io/demo/content/default/images/TW2P688009J/1.jpg,yes,"Offering simplicity and sophistication, this stylish and functional women's Timex watch is crafted with a round silvertone case and a honey-brown crocodile leather strap. A clean, off-white dial houses black hands and classic black Arabic numeral hour markers.",,,,,,,,,
,Timex Women's TW5K893009J Ironman Classic 30 Blue/Silver-Tone/Black Watch,TW5K893009J,35,USD,1,,1,Women's Watches,Timex,*,https://gplcart.github.io/demo/content/default/images/TW5K893009J/1.jpg,yes,"This updated case honors our original 1986 design, but we promise the technology is as forward-thinking as ever.",,,,,,,,,
,Timex Women's T5K8099J Ironman Rugged Black/ Lime Watch,T5K8099J,35,USD,1,,1,Women's Watches,Timex,*,https://gplcart.github.io/demo/content/default/images/T5K8099J/1.jpg,yes,A wide digital display adds convenience to this modern black watch from Timex. A comfortable resin strap and lime accents complete this timepiece.,,,,,,,,,
,Timex Women's T2N8699J Weekender Slip-thru Black Nylon Strap Watch,T2N8699J,30,USD,1,,1,Women's Watches,Timex,*,https://gplcart.github.io/demo/content/default/images/T2N8699J/1.jpg,yes,This lovely women's Weekender slip-thru watch from Timex features a polished chrome brass case with a coordinating black nylon strap. The black dial sets the stage for grey hands and Arabic numerals for easy time-telling.,,,,,,,,,
,Timex Women's T2M570 Cavatina Stainless Steel Expansion Band Watch,T2M570,32,USD,1,,1,Women's Watches,Timex,*,https://gplcart.github.io/demo/content/default/images/T2M570/1.jpg,yes,Black Arabic numeral hour markers stand out against a silver dial in this fine women's watch from Timex. The Core Cavatina timepiece offers two-tone brass case and expansion bracelet with easy slip-on styling.,,,,,,,,,
,Timex Women's T257719J Elevated Classics Dress Two-tone Steel Bracelet Watch,T257719J,45,USD,1,,1,Women's Watches,Timex,*,https://gplcart.github.io/demo/content/default/images/T257719J/1.jpg,yes,"Classically styled and updated with the latest Timex timekeeping technology, the two-tone Timex Women's Sport Chic stainless steel watch makes a great accent to both your everyday and business wear. It features a round watch case with a gold-tone bezel that frames a white dial background with black Arabic numerals and gold hands (with seconds hand). The stainless steel bracelet band features trident shaped links in gold and silver tones, and it's joined by a push button fold over clasp. This watch also features a 10-year battery life, water resistance to 165 feet (50 meters), and a date display at 3 o'clock. With the Quick Date function, you can set the date on the watch without turning the crown for every 24-hour period. Just pull the stem halfway out, and turn until desired date is reached.",,,,,,,,,
