"Displays all available commands","Отображает все доступные команды"
"Image style: delete","Стиль изображения: удалять"
"Language: access","Язык: доступ"
"Language: add","Язык: добавлять"
"Language: edit","Язык: редактировать"
"Language: delete","Язык: удалять"
"Currency: access","Валюта: доступ"
"Currency: add","Валюта: добавлять"
"Currency: edit","Валюта: редактировать"
"Currency: delete","Валюта: удалять"
"Country: access","Страна: доступ"
"Country: edit","Страна: редактировать"
"Country: add","Страна: добавлять"
"Country: delete","Страна: удалять"
"Country format: access","Формат страны: доступ"
"Country format: edit","Формат страны: редактировать"
"Country state: access","Область страны: доступ"
"Country state: add","Область страны: добавлять"
"Country state: edit","Область страны: редактировать"
"Country state: delete","Область страны: удалять"
"Transaction: access","Трансакция: доступ"
"Transaction: delete","Трансакция: удалять"
"Trigger: access","Триггер: доступ"
"Trigger: add","Триггер: добавлять"
"Trigger: edit","Триггер: редактировать"
"Trigger: delete","Триггер: удалять"
"City: access","Город: доступ"
"City: add","Город: добавлять"
"City: edit","Город: редактировать"
"City: delete","Город: удалять"
"Report: access","Отчёт: доступ"
"Report system events: access","Отчёт о системных событиях: доступ"
"Report system status: access","Отчёт о статусе системы: доступ"
"Report libraries: access","Отчёт по библиотекам: доступ"
"File: access","Файл: доступ"
"File: add","Файл: добавлять"
"File: edit","Файл: редактировать"
"File: delete","Файл: удалять"
"File: upload","Файл: загружать"
"Settings: access","Настройки: доступ"
"URL alias: access","URL псевдоним: доступ"
"URL alias: delete","URL псевдоним: удалить"
"Zone: access","Зона: доступ"
"Zone: edit","Зона: редактировать"
"Zone: add","Зона: добавлять"
"Zone: delete","Зона: удалять"
"GD extension installed","Расширение GD установлено"
"PDO extension installed","Расширение PDO установлено"
"SPL extension installed","Расширение SPL установлено"
"CURL extension installed","Расширение CURL установлено"
"FileInfo extension installed","Расширение FileInfo установлено"
"OpenSSL extension installed","Расширение OpenSSL установлено"
"Ctype extension installed","Расширение CType установлено"
"JSON extension installed","Расширение JSON установлено"
"Directive ""allow_url_fopen"" is disabled","Директива ""allow_url_fopen"" отключена"
"Directory ""/system/config/runtime"" exists and writable","Директория ""/system/config/runtime"" доступна для записи"
"Directory ""/cache"" exists and writable","Директория ""/cache"" доступна для записи"
Content,Содержимое
Products,Товары
"Product classes","Классы товаров"
Collections,Коллекции
Tools,Инструменты
Sales,Продажи
Orders,Заказы
Prices,Цены
Transactions,Трансакции
Cart,Корзина
Pages,Страницы
Files,Файлы
Users,Пользователи
Roles,Роли
Addresses,Адреса
Fields,Поля
Aliases,Псевдонимы
Modules,Модули
"On site","На сайте"
Settings,Настройки
Common,Общие
Dashboard,"Панель управления"
Languages,Языки
Images,Изображения
Currencies,Валюты
Countries,Страны
Triggers,Триггеры
Store,Магазин
Zones,Зоны
Reports,Отчеты
Events,События
Status,Статус
Libraries,Библиотеки
Routes,Маршруты
"Payment methods","Способы оплаты"
"Shipping methods","Способы доставки"
Options,Опции
"@option - @description","@option - @description"
"No description available","Описание недоступно"
"List of available commands. To see help for a certain command use --help option","Список доступных команд. Чтобы просмотреть справку для определенной команды используйте опцию --help"
"@command - @description","@command - @description"
"No access","Нет доступа"
"One or more errors occurred","Произошла одна или несколько ошибок"
Field,Поле
"Table @name already exists","Таблица @name уже существует"
"An error occurred while importing database table @name","Произошла ошибка при импорте таблицы базы данных @name"
"Deleted %num item(s)","Удалено %num элемент(ов)"
"Shopping cart items","Содержимое корзин"
"Updated %num item(s)","Обновлено %num элемент(ов)"
"Items have been reordered","Порядок элементов был изменён"
"Category groups","Группы категорий"
"Categories of group %name","Категории группы %name"
"Category has been deleted","Категория была удалена"
"Unable to delete","Не удается удалить"
"Category has been updated","Категория была обновлена"
"Category has been added","Категория была добавлена"
"Edit %name","Изменить %name"
"Add category to %name","Добавить категорию в %name"
"Category group has been deleted","Группа категорий была удалена"
"Category group has been updated","Группа категорий была обновлена"
"Category group has been added","Группа категорий была добавлена"
"Add category group","Добавить группу категорий"
"Cities of state %name","Города области %name"
"States of %name","Области %name"
"City has been deleted","Город был удалён"
"City has been updated","Город был обновлён"
"City has been added","Город был добавлен"
"Add city","Добавить город"
"Collection has been deleted","Коллекция была удалена"
"Collection has been updated","Коллекция была обновлена"
"Collection has not been updated","Коллекция не была обновлена"
"Collection has been added","Коллекция была добавлена"
"Collection has not been added","Коллекция не была добавлена"
"Add collection","Добавить коллекцию"
"Items of collection %name","Элементы коллекции %name"
"Collection item has been added","Элемент коллекции был добавлен"
"Collection item has not been added","Элемент коллекции не был добавлен"
"Add item to collection %name","Добавить элемент в коллекцию %name"
"@store (disabled)","@store (отключено)"
"An error occurred","Произошла ошибка"
"Please select at least one item","Пожалуйста, выберите по крайней мере один элемент"
"Country has been deleted","Страна была удалена"
"Country has been updated","Страна была обновлена"
"Country has been added","Страна была добавлена"
"Add country","Добавить страну"
"Address format of %name","Формат адреса %name"
"Currency has been deleted","Валюта была удалена"
"Currency has been updated","Валюта была обновлена"
"Currency has been added","Валюта была добавлена"
"Add currency","Добавить валюту"
"Your dashboard has been updated","Ваша панель управления была обновлена"
"Your dashboard has been reset to default state","Настройки вашей панели управления были сброшены до значений по умолчанию"
"Customize dashboard","Настройка панели управления"
"Field has been deleted","Поле было удалено"
"Field has been updated","Поле было обновлено"
"Field has been added","Поле было добавлено"
"Add field","Добавить поле"
"Values of %name","Значения %name"
"Field value has been deleted","Значение поля было удалено"
"Field value has been updated","Значение поля было обновлено"
"Field value has been added","Значение поля было добавлено"
"Add value for field %name","Добавить значение для поля %name"
"Deleted from database: %db, disk: %disk","Удалены из базы данных: %db, диск: %disk"
"File has been deleted from database and disk","Файл был удален из базы данных и диска"
"File has been updated","Файл был обновлен"
"File has been added","Файл был добавлен"
"File has not been added","Файл не был добавлен"
"Add file","Добавить файл"
"Cache has been deleted","Кэш был удалён"
"Cache has not been deleted","Кэш не был удалён"
"Image styles","Стили изображения"
"Image style has been deleted","Стиль изображения был удалён"
"Image style has been updated","Стиль изображения был обновлён"
"Image style has been added","Стиль изображения был добавлен"
"Add image style","Добавить стиль изображения"
"Language has been deleted","Язык был удален"
"Language has been updated","Язык был обновлен"
"Language has been added","Язык был добавлен"
"Add language","Добавить язык"
"Language has been refreshed","Язык был обновлен"
"Module has been updated","Модуль был обновлён"
"Operation unavailable","Операция недоступна"
"Order has been deleted","Заказ был удалён"
"Update order status to @status","Обновить статус заказа до @status"
"Order #@order_id","Заказ #@order_id"
Anonymous,Аноним
Customer,Клиент
Unknown,Неизвестно
"<a href=""@url"">@text</a>","<a href=""@url"">@text</a>"
"Failed to notify customers in orders: !list","Не удалось уведомить клиентов заказов: !list"
"Page has been deleted","Страница была удалена"
"Page has been updated","Страница была обновлена"
"Page has been added","Страница была добавлена"
"Add page","Добавить страницу"
"Price rules","Правила цен"
"Price rule has been deleted","Правило цены было удалено"
"Price rule has been updated","Правило цены было обновлено"
"Price rule has been added","Правило цены было добавлено"
"Add price rule","Добавить правило цены"
"Product has been deleted","Товар был удалён"
"Product has been updated","Товар был обновлён"
"Product has been added","Товар был добавлен"
"Add product","Добавить товар"
"Product class has been deleted","Класс товара был удалён"
"Product class has been updated","Класс товара был обновлён"
"Product class has been added","Класс товара был добавлен"
"Add product class","Добавить класс товара"
"Fields of %name","Поля %name"
"Add field to %name","Добавление поля в %name"
Public,Публично
Superadmin,Супер-администратор
"System events","Системные события"
Reviews,Отзывы
"Review has been deleted","Отзыв был удален"
"Review has been updated","Отзыв был обновлен"
"Review has been added","Отзыв был добавлен"
Review,Отзыв
"Add review","Добавить отзыв"
"Settings have been updated","Настройки были сохранены"
"Country state has been deleted","Область была удалена"
"Country state has been updated","Область была обновлена"
"Country state has been added","Область была добавлена"
"Add country state for %name","Добавить область для %name"
Stores,Магазины
"Store has been deleted","Магазин был удалён"
"Store has been updated","Магазин был обновлён"
"Store has been added","Магазин был добавлен"
"Add store","Добавить магазин"
"Trigger has been deleted","Триггер был удалён"
"Trigger has been updated","Триггер был обновлён"
"Trigger has been added","Триггер был добавлен"
"Trigger has not been added","Триггер не был добавлен"
"Add trigger","Добавить триггер"
"User has been deleted","Пользователь был удален"
"User has been updated","Пользователь был обновлен"
"User has been added","Пользователь был добавлен"
"Add user","Добавить пользователя"
"Role has been deleted","Роль была удалена"
"Role has been updated","Роль была обновлена"
"Role has been added","Роль была добавлена"
"Add role","Добавить роль"
"Zone has been deleted","Зона была удалена"
"Zone has been updated","Зона была обновлена"
"Zone has been added","Зона была добавлена"
"Add zone","Добавить зону"
"System already installed","Система уже установлена"
"Language (enter a number)","Язык (укажите число)"
"Invalid language","Недопустимый язык"
"Installation profile (enter a number)","Установочный профиль (укажите номер)"
"Store title","Название магазина"
E-mail,E-mail
Password,Пароль
"Installation subdirectory","Директория установки"
"Database name","Название базы данных"
"Database user","Пользователь базы данных"
"Database password","Пароль базы данных"
"Database port","Порт базы данных"
"Database host","Сервер базы данных"
"Database type (enter a number)","Тип базы данных (укажите номер)"
Shop,Магазин
"Account has been updated","Учетная запись была обновлена"
Account,"Учетная запись"
"Edit account","Редактирование учетной записи"
"Address has been deleted","Адрес был удален"
"Missing handler","Отсутствует обработчик"
Catalog,Каталог
"Cloning order #@num","Клонирование заказа #@num"
"Add order for user %name","Добавить заказ для пользователя %name"
Checkout,"Оформление заказа"
"Form has been updated","Форма была обновлена"
"Invalid code","Неверный код"
"Order #@num has been created for user @name. Order status: @status","Заказ #@num был создан для @name. Статус заказа: @status"
"Cloned into order #@num","Клонировано в заказ #@num"
"Order has been cloned from order <a href=""@url"">@num</a>. Order status: @status","Заказ был клонирован из заказа <a href=""@url"">@num</a>. Статус заказа: @status"
"Created order #@num","Создан заказ #@num"
Comparison,Сравнение
Home,Главная
"Select products","Выберите товары"
"Product has been deleted from cart","Товар удален из корзины"
"Cron has started","Крон запущен"
"Installing GPLCart","Установка GPLCart"
"Review has been updated and will be published after approval","Отзыв был обновлён и будет опубликован после одобрения"
"Review has not been added","Отзыв не был добавлен"
"Review has been added and will be published after approval","Отзыв был добавлен и будет опубликован после одобрения"
Search,Поиск
"Search for «@term»","Поиск «@term»"
Login,Вход
Register,Регистрация
"Reset password","Сброс пароля"
"My wishlist","Мой список желаний"
"Failed to read the source config @path","Не удается прочитать источник конфигурации @path"
"Failed to create config.php","Не удалось создать config.php"
"Failed to import database tables","Не удалось импортировать таблицы базы данных"
"Your store has been installed.\nURL: @url\nAdmin area: @url/admin\nGood luck!","Ваш магазин был установлен.\nURL: @url\nАдминистрирование: @url/admin\nУдачи!"
"Your store has been installed. Now you can log in as superadmin","Ваш магазин был установлен. Теперь вы можете войти как суперадмин"
Inactive,Неактивно
Active,Активно
"New account on @store","Новая учётная запись на @store"
"A new account has been created on @store\r\n\r\nE-mail: @email\r\nName: @name\r\nUser ID: @user_id\r\nStatus: @status","Была создана новая учётная запись на @store\r\n\r\nE-mail: @email\r\nИмя: @name\r\nID пользователя: @user_id\r\nСтатус: @status"
"Account details for @name on @store","Детали учётной записи для @name на @store"
"Thank you for registering on @store\r\n\r\nAccount status: @status\r\n\r\nEdit account: @edit\r\nView orders: @order","Спасибо за регистрацию на сайте @store\r\n\r\nСтатус учётной записи: @status\r\n\r\nРедактирование настроек: @edit\r\nЗаказы: @order"
"Password recovery for @name on @store","Восстановление пароля для @name на @store"
"You or someone else requested a new password on @store\r\n\r\nTo get the password please click on the following link:\r\n@link\r\n\r\nThis link expires on @expires and nothing will happen if it's not used","Вы или кто-то другой запросил новый пароль на сайте @store\r\n\r\nЧтобы получить новый пароль кликните на эту ссылку:\r\n@link\r\n\r\nСсылка действует до @expires и ничего не случится, если вы не используете её"
"Password has been changed for @name on @store","Пароль был изменен для @name на @store"
"Your password on @store has been changed","Пароль учётной записи на сайте @store был изменён"
"\r\n\r\n-------------------------------------\r\n@owner\r\n@address\r\n@phone\r\n@fax\r\n@store_email\r\n@map","\r\n\r\n-------------------------------------\r\n@owner\r\n@address\r\n@phone\r\n@fax\r\n@store_email\r\n@map"
"Tel: @phone","Тел: @phone"
"Fax: @fax","Факс: @fax"
"E-mail: @store_email","E-mail: @store_email"
"Find us on Google Maps: @map","Найти нас на Google Maps: @map"
"New order #@order_id on @store","Новый заказ #@order_id в @store"
"Order status: @status\r\nTotal: @total\r\nView: @order","Статус заказа: @status\r\nСумма: @total\r\nПросмотреть: @order"
"Order #@order_id on @store","Заказ #@order_id в @store"
"Thank you for ordering on @store\r\n\r\nOrder ID: @order_id\r\nOrder status: @status\r\nView orders: @order","Спасибо за заказ в магазине @store\r\n\r\nID заказа: @order_id\r\nСтатус заказа: @status\r\nПросмотреть: @order"
"Your order #@order_id on @store has been updated\r\n\r\nOrder status: @status\r\nView orders: @order","Ваш заказ #@order_id на @store был обновлён\r\n\r\nСтатус: @status\r\nПросмотр заказов: @order"
"@field is required","@field является обязательным"
"@field must be numeric","@field должно быть числом"
"@field must be integer","@field должно быть целым числом"
"@name is unavailable","@name недоступно"
"@field must be @min - @max characters long","@field должно быть длиной @min - @max символов"
"@field has invalid value","@field имеет неправильное значение"
"@name already exists","@name уже существует"
Title,Заголовок
Name,Название
"Meta title",Мета-заголовок
"Meta description",Мета-описание
Description,Описание
Weight,Вес
Alias,Псевдоним
User,Пользователь
Type,Тип
SKU,Артикул
Order,Заказ
Quantity,Количество
"Too low stock level","Слишком низкий запас на складе"
"Please no more than @num items","Пожалуйста не более @num позиций"
"Please no more than @num items per SKU","Пожалуйста не более @num позиций одного артикула"
"Invalid combination","Неправильная комбинация"
Category,Категория
"Category group","Группы категорий"
"Parent category","Родительская категория"
"First description","Первое описание"
"Second description","Второе описание"
"Category group of this type already exists for this store","Группа категорий этого типа уже существует для этого магазина"
Zone,Зона
Collection,Коллекция
URL,URL
"Collection ID","ID коллекции"
Value,Значение
"Native name","Родное название"
Code,Код
Currency,Валюта
Symbol,Символ
"Major unit","Главная единица"
"Minor unit","Дробная единица"
"Conversion rate","Курс обмена"
"Rounding step","Шаг округления"
Decimals,Десятичные
"Numeric code","Числовой код"
Widget,Виджет
"Field value","Значение поля"
Color,Цвет
"Image style","Стиль изображения"
Actions,Действия
"Error on line @num","Ошибка в строке @num"
"Please fix all critical errors in your environment","Пожалуйста устраните все критические проблемы в вашем окружении"
No,Нет
Yes,Да
Host,Сервер
"Base path","Базовый путь"
Timezone,"Часовой пояс"
Installer,Установщик
"Database type","Тип базы данных"
"Unsupported database driver. Available drivers: @list","Драйвер базы данных не поддерживается. Доступные драйверы: @list"
"Could not connect to database","Не удалось подключиться к базе данных"
Language,Язык
Payment,Платёж
Shipping,"Способ доставки"
"Shipping address","Адрес доставки"
"Payment address","Платёжный адрес"
Creator,Создатель
Total,Итого
Price,Цена
Comment,Комментарий
Transaction,Транзакция
Log,Лог
"Price rule","Правило цен"
Trigger,Триггер
"Times used","Использовано раз"
"Value type","Тип значения"
Brand,"Торговая марка"
"Size unit","Единица размера"
"Weight unit","Единица веса"
Stock,Склад
Width,Ширина
Height,Высота
Length,Длина
"Product class","Класс товара"
"Combination already exists","Такая комбинация уже существует."
"SKU must be unique per store","Артикул должен быть уникальным для каждого магазина"
"Only numeric values and no longer than @num characters","Только числовые значения и не длиннее чем @num символов"
Rating,Рейтинг
Text,Текст
Created,Создано
Email,Email
Domain,Домен
Map,Карта
Theme,Тема
Conditions,Условия
"Error on line @num: !error","Ошибка в строке @num: !error"
"No parameters","Без параметров"
"Invalid operator","Неправильный оператор"
"Failed validation","Не прошло валидацию"
"Old password","Старый пароль"
"Old and new password not matching","Старый и новый пароль не соответствует"
Role,Роль
Redirect,Переадресация
Wishlist,"Список желаний"
Condition,Условие
"Unsupported operator","Неподдерживаемый оператор"
"@field must not be longer than @max characters","@field должно быть длиной не более @max символов"
"Unable to add product","Не удается добавить продукт"
"Product has been added to your cart. <a href=""@url"">Checkout</a>","Товар был добавлен в вашу корзину. <a href=""@url"">Оформить заказ</a>"
"Product has been moved to your <a href=""@url"">wishlist</a>","Товар был перемещён в ваш <a href=""@url"">список желаний</a>"
"Hello, %name. Now you are logged in","Здравствуйте, %name. Теперь вы авторизованы"
"Product has been added to <a href=""@url"">comparison</a>","Товар был добавлен в <a href=""@url"">сравнение</a>"
"Product has been removed from comparison","Товар был удалён из сравнения"
"Less than","Меньше чем"
"Greater than","Больше чем"
"Equal (is in list)","Равно (есть в списке)"
"Less than or equal to","Меньше или равно"
"Greater than or equal to","Больше или равно"
"Not equal (is not in list)","Не равно (не в списке)"
Button,Кнопка
"Radio buttons",Радио-кнопки
"Dropdown list","Раскрывающийся список"
Option,Вариант
Attribute,Атрибут
"Unable to upload the file","Не удается загрузить файл"
"Unable to create @name","Не удается создать @name"
"Unable to move @source to @destination","Не удается переместить @source в @destination"
"Unknown filename","Неизвестное имя файла"
"Unknown file extension","Неизвестное расширение файла"
"Unsupported file extension","Неподдерживаемое расширение файла"
"Unknown handler","Неизвестный обработчик"
"File size exceeds %num bytes","Размер файла превышает %num байт"
Default,"По умолчанию"
"The database you specified already has tables","Указанная вами база данных уже имеет таблицы"
Starting...,Начинаем...
Finished,Завершено
Processing...,Обработка...
"The job has not been properly completed","Задание не было завершено должным образом"
"Processed %total items, errors: %errors","Обработано %total элементов, ошибок: %errors"
"Successfully processed %total items","Успешно обработано %total элементов"
"Module already installed and enabled","Модуль уже установлен и включён"
"Module is locked in code","Модуль заблокирован в коде"
"Modules that are installers cannot be enabled","Модули, которые являются установочными профилями не могут быть включены"
"Module already installed","Модуль уже установлен"
"Modules that are installers cannot be installed when system is set up","Модули, которые являются установочными профилями не могут быть установлены при работающей системе"
"Failed to instantiate the main module class","Не удалось создать экземпляр класса главного модуля"
"Modules that are active themes cannot be disabled/uninstalled","Модули, которые являются активными темами оформления нельзя выключить/удалить при работающей системе"
"Modules that are installers cannot be installed/enabled when system is set up","Модули, которые являются установочными профилями нельзя установить/включить при работающей системе"
"Requires incompatible version of @name","Требует несовместимую версию @name"
"Invalid module ID","Неправильный ID модуля"
"Missing core version","Отсутствует версия ядра"
"Module incompatible with the current system core version","Модуль несовместим с текущей версией ядра системы"
"Required by","Требуется для"
"Order has been created","Заказ был создан"
"Thank you for your order! Order ID: @num, status: @status","Спасибо за ваш заказ! Номер заказа: @num, статус: @status"
Pending,Ожидает
Canceled,Отменено
Delivered,Доставлено
Completed,Завершено
Processing,Обрабатывается...
Dispatched,Отправлено
"Awaiting payment","В ожидании оплаты"
"Cash on delivery","Оплата при доставке"
"Payment for an order is made at the time of delivery","Оплата за заказ производится в момент получения"
Gram,Грамм
Kilogram,Килограмм
Ounce,Унция
Inch,Дюйм
Millimeter,Миллиметр
Centimetre,Сантиметр
Info,Информация
Danger,Опасность
Warning,Предупреждение
"Core version","Версия ядра"
"Database version","Версия базы данных"
"PHP version","Версия PHP"
"PHP operating system","Операционная система"
"PHP Memory Limit","Лимит памяти PHP"
"PHP APC cache enabled","PHP-APC кэш включен"
"Server software","Серверное программное обеспечение"
"Cron last run","Последний запуск крон"
"Filesystem is protected","Файловая система защищена"
"Search index","Поисковый индекс"
"@num rows","@num строк"
"File %name is not secure. The file permissions must be %perm","Файл %name не защищён. Права на файл должны быть %perm"
Pickup,Самовывоз
"Customer must pick up his items himself at the store","Покупатель должен самостоятельно забрать свой заказ в магазине"
"Out of stock","Нет в наличии"
Unavailable,Недоступно
"Failed to log in","Не удалось авторизоваться"
"Your account has been created","Ваша учетная запись создана"
"Password reset link has been sent to your E-mail","Ссылка для сброса пароля была отправлена на ваш адрес электронной почты"
"Your password has been successfully changed","Ваш пароль был успешно изменен"
"Product already in your <a href=""@url"">wishlist</a>","Товар уже в вашем <a href=""@url"">списке желаний</a>"
"You're exceeding limit of %num items","Вы превысили лимит %num позиций"
"Product has been added to your <a href=""@url"">wishlist</a>","Товар был добавлен в ваш <a href=""@url"">список желаний</a>"
"Unable to load product class fields","Не удалось загрузить поля класса товара"
"Generate automatically","Генерировать автоматически"
"Do you want to change order status?","Хотите изменить статус заказа?"
"Changes will not be saved until the form is submitted","Изменения не будут сохранены до тех пор, пока форма не будет отправлена"
"Backend theme","Тема бэкенда"
Delete,Удалить
"Select one or more images","Выберите одно или несколько изображений"
Cancel,Отмена
Previous,Предыдущий
Next,Следующий
"403 - Permission denied","403 - доступ запрещён"
"You do not have permission to retrieve the URL or link you requested","У вас нет прав доступа к этому URL"
"404 - Page not found","404 - страница не найдена"
"The requested object or URL was not found on this server","Запрошенный адрес не найден на этом сервере"
"With selected","С выбранным"
"Are you sure? It cannot be undone!","Вы уверены? Это действие не может быть отменено!"
OK,"ОК "
ID,ID
"Entity type","Тип сущности"
"Entity ID","ID сущности"
Any,Любое
"Reset filter","Сбросить фильтр"
Filter,Фильтр
"No results","Нет результатов"
Reset,Сброс
"There are no items yet","Нет контента"
Enabled,Включено
Disabled,Отключено
"Disabled categories will not be available to frontend users and search engines","Отключенные категории не будут доступны для клиентов и поисковых роботов"
"The title will be used on the category page and menu","Этот заголовок будет использован на странице этой категории и в меню"
"Text that usually placed at the top of a category page","Текст, который обычно расположен вверху страницы категории"
"Text that usually placed at the bottom of a category page","Текст, который обычно расположен внизу страницы категории"
Translations,﻿Переводы
"Title %language","Название %language"
"First description %language","Первое описание %language"
"Second description %language","Дополнительное описание %language"
Relations,Связи
Root,Корень
"Select a parent of the category. Specify ""Root"" for top-level parentless category","Выберите родительскую категорию. Выберите ""Корень"", если эта категория не имеет родителей"
"Alternative path by which the entity item can be accessed. Leave empty to generate it automatically","Альтернативный путь, по которому будет доступна эта сущность. Оставьте поле пустым, чтобы сгенерировать псевдоним автоматически"
Meta,Мета
"Optional text to be placed between %tags tags","Необязательный текст для вставки в теги %tags"
"Optional text to be used in meta description tag. The tag is commonly used on search engine result pages (SERPs) to display preview snippets for a given page. Important for SEO","Необязательный текст для meta description. Этот тег обычно используется для сниппетов в поисковой выдачи. Важно для СЕО"
"Meta title %language","Meta title %language"
"Meta description %language","Meta description %language"
Save,Сохранить
"Category group name to be shown to administrators and customers","Имя категории группы для администраторов и клиентов"
None,Ничего
"Brand category groups will contain trademarks (Sony, Apple), catalog - normal categories like Computers, Monitors etc.","Группы категорий торговых марок содержат названия торговых марок, каталог - товарные категории"
"Select a store where to display this item","Выберите магазин, в котором будет показан этот элемент"
Add,Добавить
Edit,Изменить
Categories,Категории
"Are you sure?","Вы уверены?"
View,Просмотр
"Add subcategory","Добавить подкатегорию"
"Only enabled items will be available publicly","Только включенные элементы будут доступны публично"
