"Displays all available commands","Відображає всі доступні команди"
"Currency: add","Валюта: додавати"
"Currency: edit","Валюта: редагувати"
"Currency: delete","Валюта: видаляти"
"Country: access","Країна: доступ"
"Country: edit","Країна: редагувати"
"Country: add","Країна: додавати"
"Country: delete","Країна: видаляти"
"Country format: access","Формат країни: доступ"
"Country format: edit","Формат країни: редагувати"
"Country state: access","Область країни: доступ"
"Country state: add","Область країни: додавати"
"Country state: edit","Область країни: редагувати"
"Country state: delete","Область країни: видаляти"
"Transaction: access","Трансакція: доступ"
"Transaction: delete","Трансакція: видаляти"
"Trigger: access","Тригер: доступ"
"Trigger: add","Тригер: додавати"
"Trigger: edit","Тригер: редагувати"
"Trigger: delete","Тригер: видаляти"
"City: access","Місто: доступ"
"City: add","Місто: додавати"
"City: edit","Місто: редагувати"
"City: delete","Місто: видаляти"
"Report: access","Звіт: доступ"
"Report system events: access","Звіт системних подій: доступ"
"Report system status: access","Звіт про стан системи: доступ"
"Report libraries: access","Звіт по бібліотекам: доступ"
"File: access","Файл: доступ"
"File: add","Файл: додавати"
"File: edit","Файл: редагувати"
"File: delete","Файл: видаляти"
"File: upload","Файл: завантажувати"
"Settings: access","Налаштування: доступ"
"URL alias: access","URL-псевдоніми: доступ"
"URL alias: delete","URL-псевдоніми: видаляти"
"Zone: access","Зона: доступ"
"Zone: edit","Зона: редагувати"
"Zone: add","Зона: додавати"
"Zone: delete","Зона: видаляти"
"GD extension installed","GD розширення встановлене"
"PDO extension installed","PDO розширення встановлене"
"SPL extension installed","SPL розширення встановлене"
"CURL extension installed","CURL розширення встановлене"
"FileInfo extension installed","FileInfo розширення встановлене"
"OpenSSL extension installed","OpenSSL розширення встановлене"
"Ctype extension installed","Ctype розширення встановлене"
"JSON extension installed","JSON розширення встановлене"
"Directive ""allow_url_fopen"" is disabled","Директива ""allow_url_fopen"" вимкнена"
"Directory ""/system/config/runtime"" exists and writable","Директорія ""/system/config/runtime"" існує і доступна для запису"
"Directory ""/cache"" exists and writable","Директорія ""/cache"" існує і доступна для запису"
Content,Вміст
Products,Товари
"Product classes","Класи товарів"
Collections,Колекції
Tools,Інструменти
Sales,Продажі
Orders,Замовлення
Prices,Ціни
Transactions,Транзакції
Cart,Кошик
Pages,Сторінки
Files,Файли
Users,Користувачі
Roles,Ролі
Addresses,Адреси
Fields,Поля
Aliases,Псевдоніми
Modules,Модулі
"On site","На сайті"
Settings,Налаштування
Common,Загальні
Dashboard,"Панель керування"
Languages,Мови
Images,Зображення
Currencies,Валюти
Countries,Країни
Triggers,Тригери
Store,Магазин
Zones,Зони
Reports,Звіти
Events,Події
Status,Стан
Libraries,Бібліотеки
Routes,Маршрути
"Payment methods","Способи оплати"
"Shipping methods","Способи доставки"
Options,Опції
"@option - @description","@option - @description"
"No description available","Опис відсутній"
"List of available commands. To see help for a certain command use --help option","Список доступних команд. Щоб переглянути довідку для певної команди використовуйте опцію --help"
"@command - @description","@command - @description"
"No access","Немає доступу"
"One or more errors occurred","Сталася одна або декілька помилок"
Field,Поле
"Table @name already exists","Таблиця @name вже існує"
"An error occurred while importing database table @name","Сталася помилка під час імпортування таблиць бази даних @name"
"Deleted %num item(s)","Видалено %num елемент(ів)"
"Shopping cart items","Елементи кошику"
"Updated %num item(s)","Оновлено %num елемент(ів)"
"Items have been reordered","Порядок елементів був змінений"
"Category groups","Групи категорій"
"Categories of group %name","Категорії групи %name"
"Category has been deleted","Категорія була видалена"
"Unable to delete","Не вдалося видалити"
"Category has been updated","Категорія була оновлена"
"Category has been added","Категорія була додана"
"Edit %name","Змінити %name"
"Add category to %name","Додати категорію до %name"
"Category group has been deleted","Група категорій була видалена"
"Category group has been updated","Група категорій була оновлена"
"Category group has been added","Група категорій була додана"
"Add category group","Додати групу категорій"
"Cities of state %name","Міста області %name"
"States of %name","Області %name"
"City has been deleted","Місто було видалене"
"City has been updated","Місто було оновлене"
"City has been added","Місто було додане"
"Add city","Додати місто"
"Collection has been deleted","Колекція була видалена"
"Collection has been updated","Колекція була оновлена"
"Collection has not been updated","Колекція не була оновлена"
"Collection has been added","Колекція була додана"
"Collection has not been added","Колекція не була додана"
"Add collection","Додати колекцію"
"Items of collection %name","Елементи колекції %name"
"Collection item has been added","Елемент колекції був доданий"
"Collection item has not been added","Елемент колекції не був доданий"
"Add item to collection %name","Додати елемент до колекції %name"
"@store (disabled)","@store (вимкнено)"
"An error occurred","Виникла помилка"
"Please select at least one item","Будь ласка, виберіть принаймні один елемент"
"Country has been deleted","Країна була видалена"
"Country has been updated","Країна була оновлена"
"Country has been added","Країна була додана"
"Add country","Додати країну"
"Address format of %name","Формат адреси %name"
"Currency has been deleted","Валюта була видалена"
"Currency has been updated","Валюта була оновлена"
"Currency has been added","Валюта була додана"
"Add currency","Додати валюту"
"Your dashboard has been updated","Налаштування вашої панелі керування були оновлені"
"Your dashboard has been reset to default state","Налаштування вашої панелі керування були скинуті до значень за умовчанням"
"Customize dashboard","Налаштування панелі керування"
"Field has been deleted","Поле було видалене"
"Field has been updated","Поле було оновлене"
"Field has been added","Поле було додане"
"Add field","Додати поле"
"Values of %name","Значення %name"
"Field value has been deleted","Значення поля було видалене"
"Field value has been updated","Значення поля було оновлене"
"Field value has been added","Значення поля було додане"
"Add value for field %name","Додати значення до поля %name"
"Deleted from database: %db, disk: %disk","Видалено з бази даних: %db, диск: %disk"
"File has been deleted from database and disk","Файл було видалено з бази даних і диску"
"File has been updated","Файл був оновлений"
"File has been added","Файл був доданий"
"File has not been added","Файл не був доданий"
"Add file","Додати файл"
"Cache has been deleted","Кеш був видалений"
"Cache has not been deleted","Кеш не видалено"
"Image styles","Стилі зображень"
"Image style has been deleted","Стиль зображення був видалений"
"Image style has been updated","Стиль зображення був оновлений"
"Image style has been added","Стиль зображення був доданий"
"Add image style","Додати стиль зображення"
"Language has been deleted","Мова була видалена"
"Language has been updated","Мова була оновлена"
"Language has been added","Мова була додана"
"Add language","Додати мову"
"Language has been refreshed","Мова була перевантажена"
"Module has been updated","Модуль був оновлений"
"Operation unavailable","Операція недоступна"
"Order has been deleted","Замовлення було видалене"
"Update order status to @status","Оновити стан замовлення до @status"
"Order #@order_id","Замовлення #@order_id"
Anonymous,Анонім
Customer,Клієнт
Unknown,Невідомо
"<a href=""@url"">@text</a>","<a href=""@url"">@text</a>"
"Failed to notify customers in orders: !list","Не вдалося повідомити клієнтів у замовленнях: !list"
"Page has been deleted","Сторінка була видалена"
"Page has been updated","Сторінка була оновлена"
"Page has been added","Сторінка була додана"
"Add page","Додати сторінку"
"Price rules","Правила цін"
"Price rule has been deleted","Правило було видалене"
"Price rule has been updated","Правило було оновлене"
"Price rule has been added","Правило було додане"
"Add price rule","Додати правило"
"Product has been deleted","Товар був видалений"
"Product has been updated","Товар був оновлений"
"Product has been added","Товар був доданий"
"Add product","Додати товар"
"Product class has been deleted","Клас товару був видалений"
"Product class has been updated","Клас товару був оновлений"
"Product class has been added","Клас товару був доданий"
"Add product class","Додати клас товару"
"Fields of %name","Поля %name"
"Add field to %name","Додати поле до %name"
Public,Загальнодоступне
Superadmin,Суперадміністратор
"System events","Системні події"
Reviews,Відгуки
"Review has been deleted","Відгук було видалено"
"Review has been updated","Відгук було оновлено"
"Review has been added","Відгук було додано"
Review,Відгук
"Add review","Додати відгук"
"Settings have been updated","Налаштування було оновлено"
"Country state has been deleted","Область була видалена"
"Country state has been updated","Область була оновлена"
"Country state has been added","Область була додана"
"Add country state for %name","Додати область до %name"
Stores,Магазини
"Store has been deleted","Магазин був видалений"
"Store has been updated","Магазин був оновлений"
"Store has been added","Магазин був доданий"
"Add store","Додати магазин"
"Trigger has been deleted","Тригер був видалений"
"Trigger has been updated","Тригер був оновлений"
"Trigger has been added","Тригер був доданий"
"Trigger has not been added","Тригер не був доданий"
"Add trigger","Додати тригер"
"User has been deleted","Користувач був видалений"
"User has been updated","Користувач був оновлений"
"User has been added","Користувач був доданий"
"Add user","Додати користувача"
"Role has been deleted","Роль була видалена"
"Role has been updated","Роль була оновлена"
"Role has been added","Роль була додана"
"Add role","Додати роль"
"Zone has been deleted","Зона була видалена"
"Zone has been updated","Зона була оновлена"
"Zone has been added","Зона була додана"
"Add zone","Додати зону"
"System already installed","Система вже встановлена"
"Language (enter a number)","Мова (введіть число)"
"Invalid language","Неприпустима мова"
"Installation profile (enter a number)","Профіль установки (введіть число)"
"Store title","Назва магазину"
E-mail,E-mail
Password,Пароль
"Installation subdirectory","Підкаталог установки"
"Database name","Назва бази даних"
"Database user","Користувач бази даних"
"Database password","Пароль бази даних"
"Database port","Порт бази даних"
"Database host","Сервер бази даних"
"Database type (enter a number)","Тип бази даних (введіть число)"
Shop,Магазин
"Account has been updated","Обліковий запис був оновлений"
Account,"Обліковий запис"
"Edit account","Редагувати обліковий запис"
"Address has been deleted","Адрес був видалений"
"Missing handler","Відсутній обробник"
Catalog,Каталог
"Cloning order #@num","Клонування замовлення #@num"
"Add order for user %name","Додати замовлення для користувача %name"
Checkout,"Оформлення замовлення"
"Form has been updated","Форма була оновлена"
"Invalid code","Неприпустимий код"
"Order #@num has been created for user @name. Order status: @status","Замовлення #@num було створене для користувача @name. Стан замовлення: @status"
"Cloned into order #@num","Клоновано в замовлення #@num"
"Order has been cloned from order <a href=""@url"">@num</a>. Order status: @status","Замовлення було клоноване з замовлення <a href=""@url"">@num</a>. Стан замовлення: @status"
"Created order #@num","Створене замовлення #@num"
Comparison,Порівняння
Home,Головна
"Select products","Виберіть товари"
"Product has been deleted from cart","Товар був видалений з кошика"
"Cron has started","Cron запустився"
"Installing GPLCart","Встановлення GPLCart"
"Review has been updated and will be published after approval","Відгук був оновлений і буде опублікований після затвердження"
"Review has not been added","Відгук не був доданий"
"Review has been added and will be published after approval","Відгук був доданий і буде опублікований після затвердження"
Search,Пошук
"Search for «@term»","Пошук «@term»"
Login,Вхід
Register,Реєстрація
"Reset password","Зміна пароля"
"My wishlist","Мій список бажань"
"Failed to read the source config @path","Не вдалося прочитати джерело config @path"
"Failed to create config.php","Не вдалося створити config. php"
"Failed to import database tables","Не вдалося імпортувати базу даних"
"Your store has been installed.\nURL: @url\nAdmin area: @url/admin\nGood luck!","Ваш магазин був встановлений. \nURL: @url\nВхід для адміністратора: @url/admin\nВсього найкращого!"
"Your store has been installed. Now you can log in as superadmin","Ваш магазин був встановлений. Тепер ви можете увійти в систему в якості супер-адміністратора"
Inactive,Неактивно
Active,Активно
"New account on @store","Новий обліковий запис на @store"
"A new account has been created on @store\r\n\r\nE-mail: @email\r\nName: @name\r\nUser ID: @user_id\r\nStatus: @status","Новий обліковий запис було створено на @store\r\n\r\nE-mail: @email\r\nІ'мя: @name\r\nID користувача: @user_id\r\nСтан: @status"
"Account details for @name on @store","Обліковий запис для @name на @store"
"Thank you for registering on @store\r\n\r\nAccount status: @status\r\n\r\nEdit account: @edit\r\nView orders: @order","Дякуємо вам за реєстрацію на @store\r\n\r\nСтан облікового запису: @status\r\n\r\nНалаштування: @edit\r\nПерегляд замовлень: @order"
"Password recovery for @name on @store","Відновлення пароля для @name на @store"
"You or someone else requested a new password on @store\r\n\r\nTo get the password please click on the following link:\r\n@link\r\n\r\nThis link expires on @expires and nothing will happen if it's not used","Ви або хтось інший запитав новий пароль на @store\r\n\r\nЩоб отримати новий пароль, будь ласка, натисніть на це посилання:\r\n@link\r\n\r\nТермін дії посилання закінчується @expires і нічого не відбудеться, якщо воно не буде використане"
"Password has been changed for @name on @store","Пароль був змінений для @name на @store"
"Your password on @store has been changed","Ваш пароль на @store був змінений"
"\r\n\r\n-------------------------------------\r\n@owner\r\n@address\r\n@phone\r\n@fax\r\n@store_email\r\n@map","\r\n\r\n-------------------------------------\r\n@owner\r\n@address\r\n@phone\r\n@fax\r\n@store_email\r\n@map"
"Tel: @phone","Тел: @phone"
"Fax: @fax","Факс: @fax"
"E-mail: @store_email","E-mail: @store_email"
"Find us on Google Maps: @map","Знайти нас на Google Maps: @map"
"New order #@order_id on @store","Нове замовлення #@order_id на @store"
"Order status: @status\r\nTotal: @total\r\nView: @order","Стан замовлення: @status\r\nЗагалом: @total\r\nПерегляд: @order"
"Order #@order_id on @store","Замовлення #@order_id на @store"
"Thank you for ordering on @store\r\n\r\nOrder ID: @order_id\r\nOrder status: @status\r\nView orders: @order","Дякуємо вам за замовлення на @store\r\n\r\nНомер замовлення: @order_id\r\nСтан замовлення: @status\r\nПерегляд: @order"
"Your order #@order_id on @store has been updated\r\n\r\nOrder status: @status\r\nView orders: @order","Ваше замовлення #@order_id на @store було оновлене\r\n\r\nСтан замовлення: @status\r\nПерегляд: @order"
"@field is required","@field є обов'язковим"
"@field must be numeric","@field має бути числом"
"@field must be integer","@field має бути цілим числом"
"@name is unavailable","@name недоступне"
"@field must be @min - @max characters long","@field повинно бути довжиною @min - @max символів"
"@field has invalid value","@field має неприпустиме значення"
"@name already exists","@name вже існує"
Title,Заголовок
Name,Назва
"Meta title",Meta-заголовок
"Meta description","Meta - опис"
Description,Опис
Weight,Вага
Alias,Псевдонім
User,Користувач
Type,Тип
SKU,Артикул
Order,Замовлення
Quantity,Кількість
"Too low stock level","Занадто низький рівень запасу"
"Please no more than @num items","Будь ласка, не більше ніж @num позицій"
"Please no more than @num items per SKU","Будь ласка, не більше ніж @num позицій кожного артикулу"
"Invalid combination","Неприпустима комбінація"
Category,Категорія
"Category group","Група категорій"
"Parent category","Батьківська категорія"
"First description","Перший опис"
"Second description","Другий опис"
"Category group of this type already exists for this store","Група категорій цього типу вже існує для цього магазину"
Zone,Зона
Collection,Колекція
URL,URL
"Collection ID","ID колекції"
Value,Значення
"Native name","Рідна назва"
Code,Код
Currency,Валюта
Symbol,Символ
"Major unit","Основна одиниця"
"Minor unit","Дрібна одиниця"
"Conversion rate","Курс обміну"
"Rounding step","Крок округлення"
Decimals,Десяткові
"Numeric code","Числовий код"
Widget,Віджет
"Field value","Значення поля"
Color,Колір
"Image style","Стилі зображення"
Actions,Дії
"Error on line @num","Помилка в рядку @num"
"Please fix all critical errors in your environment","Будь ласка, виправте всі критичні помилки у вашому середовищі"
No,Ні
Yes,Так
Host,Хост
"Base path","Базовий шлях"
Timezone,"Часовий пояс"
Installer,Інсталятор
"Database type","Тип бази даних"
"Unsupported database driver. Available drivers: @list","Драйвер баз даних не підтримується. Доступні драйвери: @list"
"Could not connect to database","Не вдалося підключитися до бази даних"
Language,Мова
Payment,Оплата
Shipping,Доставка
"Shipping address","Адреса доставки"
"Payment address","Адреса оплати"
Creator,Автор
Total,Загалом
Price,Ціна
Comment,Коментар
Transaction,Транзакція
Log,Лог
"Price rule","Правило ціни"
Trigger,Тригер
"Times used",Використань
"Value type","Тип значення"
Brand,"Торгова марка"
"Size unit","Одиниця виміру"
"Weight unit","Одиниця ваги"
Stock,Наявність
Width,Ширина
Height,Висота
Length,Довжина
"Product class","Клас товару"
"Combination already exists","Комбінація вже існує"
"SKU must be unique per store","Артикул має бути унікальним для магазину"
"Only numeric values and no longer than @num characters","Лише числові значення і не більше ніж @num символ(ів)"
Rating,Рейтинг
Text,Текст
Created,Створено
Email,Email
Domain,Домен
Map,Карта
Theme,Тема
Conditions,Умови
"Error on line @num: !error","Помилка в рядку @num: !error"
"No parameters","Без параметрів"
"Invalid operator","Неприпустимий оператор"
"Failed validation","Не пройшло перевірку"
"Old password","Старий пароль"
"Old and new password not matching","Старий і новий пароль не співпадають"
Role,Роль
Redirect,Перенаправлення
Wishlist,"Список бажань"
Condition,Умова
"Unsupported operator","Оператор не підтримується"
"@field must not be longer than @max characters","@field має містити не більше ніж @max символів"
"Unable to add product","Не вдалося додати товар"
"Product has been added to your cart. <a href=""@url"">Checkout</a>","Товар був доданий до вашого кошику. <a href=""@url"">Оформити замовлення</a>"
"Product has been moved to your <a href=""@url"">wishlist</a>","Товар був переміщений до вашого<a href=""@url"">списку бажань</a>"
"Hello, %name. Now you are logged in","Вітаємо, %name. Зараз ви авторизовані"
"Product has been added to <a href=""@url"">comparison</a>","Товар був доданий до <a href=""@url""> порівняння</a>"
"Product has been removed from comparison","Товар був видалений з порівняння"
"Less than","Менше ніж"
"Greater than","Більше ніж"
"Equal (is in list)","Дорівнює (є в списку)"
"Less than or equal to","Менше ніж або дорівнює"
"Greater than or equal to","Більше ніж або дорівнює"
"Not equal (is not in list)","Не дорівнює (немає в списку)"
Button,Кнопка
"Radio buttons","Радіо кнопки"
"Dropdown list","Випадаючий список"
Option,Опція
Attribute,Атрибут
"Unable to upload the file","Не вдалося завантажити файл"
"Unable to create @name","Не вдалося створити @name"
"Unable to move @source to @destination","Не вдалося перемістити @source в @destination"
"Unknown filename","Невідоме ім'я файлу"
"Unknown file extension","Невідоме розширення файлу"
"Unsupported file extension","Розширення файлу не підтримується"
"Unknown handler","Невідомий обробник"
"File size exceeds %num bytes","Розмір файлу перевищує %num байт"
Default,"За замовчуванням"
"The database you specified already has tables","Вказана база даних вже має таблиці"
Starting...,Запуск...
Finished,Завершено
Processing...,Обробка...
"The job has not been properly completed","Завдання не було правильно завершене"
"Processed %total items, errors: %errors","Оброблено елементів %total, помилки: %errors"
"Successfully processed %total items","Успішно оброблено %total елемент(ів)"
"Module already installed and enabled","Модуль вже встановлений і включений"
"Module is locked in code","Модуль заблокований в коді"
"Modules that are installers cannot be enabled","Не можна ввімкнути модулі, які є інсталяторами"
"Module already installed","Модуль вже встановлено"
"Modules that are installers cannot be installed when system is set up","Модулі, які є інсталяторами не можна встановлювати, коли система вже встановлена і працює"
"Failed to instantiate the main module class","Не вдалося створити екземпляр основного класу модуля"
"Modules that are active themes cannot be disabled/uninstalled","Модулі, які є активними темами, не можна виключати/видаляти"
"Modules that are installers cannot be installed/enabled when system is set up","Модулі, які є інсталяторами не можна встановлювати/включати, коли система вже встановлена і працює"
"Requires incompatible version of @name","Вимагає несумісну версію @name"
"Invalid module ID","Невірний ID модуля"
"Missing core version","Відсутня версія ядра"
"Module incompatible with the current system core version","Модуль несумісний з поточною версією ядра системи"
"Required by","Необхідний для"
"Order has been created","Замовлення було створене"
"Thank you for your order! Order ID: @num, status: @status","Дякуємо вам за ваше замовлення! Номер замовлення: @num, стан замовлення: @status"
Pending,Очікує
Canceled,Скасовано
Delivered,Доставлено
Completed,Завершено
Processing,Обробляється
Dispatched,Відправлено
"Awaiting payment","В очікуванні оплати"
"Cash on delivery","Оплата при отриманні"
"Payment for an order is made at the time of delivery","Плата за замовлення здійснюється під час доставки"
Gram,Грам
Kilogram,Кілограм
Ounce,Унція
Inch,Дюйм
Millimeter,Міліметр
Centimetre,Сантиметр
Info,Інформація
Danger,Небезпека
Warning,Попередження
"Core version","Версія ядра"
"Database version","Версія бази даних"
"PHP version","Версія PHP"
"PHP operating system","Операційна система"
"PHP Memory Limit","Обмеження пам’яті PHP"
"PHP APC cache enabled","PHP-APC кеш включений"
"Server software","Серверне програмне забезпечення"
"Cron last run","Останній запуск крон"
"Filesystem is protected","Файлова система захищена"
"Search index","Пошуковий індекс"
"@num rows","@num рядків"
"File %name is not secure. The file permissions must be %perm","Файл %name не є безпечним. Права на файл мають бути %perm"
Pickup,Самовивіз
"Customer must pick up his items himself at the store","Клієнт повинен самостійно забрати замовлені товари в магазині"
"Out of stock","Немає в наявності"
Unavailable,Недоступно
"Failed to log in","Не вдалося увійти в систему"
"Your account has been created","Ваш обліковий запис був створений"
"Password reset link has been sent to your E-mail","Посилання для зміни пароля було надіслано на ваш E-mail"
"Your password has been successfully changed","Ви успішно змінили пароль"
"Product already in your <a href=""@url"">wishlist</a>","Товар вже у вашому <a href=""@url"">списку бажань</a>"
"You're exceeding limit of %num items","Ви перевищуєте обмеження в %num позицій"
"Product has been added to your <a href=""@url"">wishlist</a>","Товар був доданий до вашого<a href=""@url"">списку бажань</a>"
"Unable to load product class fields","Не вдається завантажити поля класу"
"Generate automatically","Генерувати автоматично"
"Do you want to change order status?","Ви дiйсно хочете змінити стан замовлення?"
"Changes will not be saved until the form is submitted","Зміни не будуть збережені до тих пір, поки форма не буде збережена"
"Backend theme","Тема внутрішнього інтерфейсу"
Delete,Видалити
"Select one or more images","Виберіть одне або декілька зображень"
Cancel,Скасувати
Previous,Назад
Next,Далі
"403 - Permission denied","403 - немає доступу"
"You do not have permission to retrieve the URL or link you requested","Ви не маєте дозволу на отримання URL-адреси або посилання"
"404 - Page not found","404 - сторінка не знайдена"
"The requested object or URL was not found on this server","Такий URL не був знайдений на цьому сервері"
"With selected","З обраним"
"Are you sure? It cannot be undone!","Ви впевнені? Ця дія не може бути скасована!"
OK,OK
ID,ID
"Entity type","Тип об'єкту"
"Entity ID","ID об'єкту"
Any,Будь-яке
"Reset filter","Скинути фільтр"
Filter,Фільтр
"No results","Немає результатів"
Reset,Скинути
"There are no items yet","Немає контенту"
Enabled,Увімкнено
Disabled,Вимкнено
"Disabled categories will not be available to frontend users and search engines","Вимкнені категорії не будуть доступні для кліентів і пошукових машин"
"The title will be used on the category page and menu","Назва буде використовуватися на сторінці категорії і меню"
"Text that usually placed at the top of a category page","Текст, який зазвичай розміщується у верхній частині сторінки категорії"
"Text that usually placed at the bottom of a category page","Текст, який зазвичай розміщується у нижній частині сторінки категорії"
Translations,Переклади
"Title %language","Назва %language"
"First description %language","Перший опис %language"
"Second description %language","Другий опис %language"
Relations,Зв'язки
Root,Корінь
"Select a parent of the category. Specify ""Root"" for top-level parentless category","Оберіть батьківську категорію для цієї категорії. Вкажіть ""Корінь"", якщо ця категорія є найвищою і не має батьків"
"Alternative path by which the entity item can be accessed. Leave empty to generate it automatically","Альтернативний шлях, за яким буде доступний цей об'єкт. Залиште поле порожнім для автоматичної генерації"
Meta,Meta
"Optional text to be placed between %tags tags","Необов'язковий текст, що буде розміщено в тегах %tags"
"Optional text to be used in meta description tag. The tag is commonly used on search engine result pages (SERPs) to display preview snippets for a given page. Important for SEO","Необов'язковий текст для використання в тегу мета-опису. Цей тег зазвичай використовуються пошуковими системами для відображення сторінки в результатах пошуку. Важливо для SEO"
"Meta title %language","Мета заголовок %language"
"Meta description %language","Мета-опис %language"
Save,Зберегти
"Category group name to be shown to administrators and customers","Назва групи категорій яку буде показано для адміністраторів та клієнтів"
None,Нічого
"Brand category groups will contain trademarks (Sony, Apple), catalog - normal categories like Computers, Monitors etc.","Група категорій торгівельних марок містить назви торгівельних марок (напр. Sony, Apple), каталог - звичайні категорії каталога, наприклад Computers, Monitors."
"Select a store where to display this item","Виберіть магазин, де потрібно показувати цей елемент"
Add,Додати
Edit,Редагувати
Categories,Категорії
"Are you sure?","Ви впевнені?"
View,Перегляд
"Add subcategory","Додати підкатегорію"
"Only enabled items will be available publicly","Лише ввімкнені елементи будуть загальнодоступні"
