"Displays all available commands","Відображає всі доступні команди"
"Start to type in the field an entity title to get suggestions or enter a numeric entity ID","Почніть набирати заголовок об'єкта в полі, щоб отримати пропозиції, або зазначте числовий ID об'єкта"
"Upload new file","Завантажити новий файл"
"Enter a referring URL. You can use either absolute (with http://) or relative URLs","Вкажіть URL посилання у вигляді абсолютної або відносної адреси"
"Items are sorted in lists by the weight value. Lower value means higher position","Елементи сортуються в списках за цим значенням ваги. Нижче значення означає вищу позицію"
"Entity status","Стан об'єкта"
Items,Елементи
"The title will be displayed to customers on product pages","Ця назва буде показана клієнтам на сторінках товарів"
"Atributes are facts about the products, options are interactive with the customer (Size, Color etc)","Атрібути - це статичні характеристики товарів, опції можуть обиратися клієнтом (Колір, Розмір тощо)"
"Select how to display the field on product pages. This is for options only","Оберіть як відображати це поле на сторінках товарів. Стосується тільки опцій"
Values,Значення
"Add value","Додати значення"
"Specify a HEX color code. It's applicable only for fields with color widgets","Вкажіть HEX код кольору. Застосовується лише для полів з віджетом кольору"
Image,Зображення
"Upload an image. It's applicable only for fields with image widgets","Завантажте зображення. Застосовується лише для полів з віджетом зображення"
"Delete existing <a target=""_blank"" href=""@url"">image</a>","Видалити існуюче <a target=""_blank"" href=""@url"">зображення</a>"
"Short description of the file","Короткий опис файлу"
"Optional detailed description of the file","Необов'язковий детальний опис файлу"
"Description %language","Опис %language"
"Supported extensions: %list","Допустимі розширення: %list"
"Delete from database and disk","Видалити з бази даних і диску"
"MIME type",MIME-тип
Path,Шлях
Download,Завантажити
Author,Автор
Modified,Змінено
"Disabled pages will not be available to frontend users and search engines","Вимкнені сторінки не будуть доступні для клієнтів і пошукових систем"
"The title will be used on the page and menu","Назва буде використовуватися на сторінці і в меню"
"You can use any HTML but user can see only allowed tags","Ви можете використовувати будь-який HTML, але користувач може бачити тільки дозволені теги"
"- select -","- вибрати -"
"Select a category of the page","Виберіть категорію цієї сторінки"
Attributes,Атрибути
"Disabled product classes will not be available to customers and administrators while editing products","Вимкнені класи товарів не будуть доступні для клієнтів та адміністраторів під час редагування товарів"
"The name of product class for administrators","Назва класу товарів для адміністраторів"
"Assign one or more fields to the product class","Призначте одне або декілька полів для цього класу товарів"
"No fields to add to %name","Немає полів, щоб додати до %name"
"You can add one or more fields <a href=""@url"">here</a>","Ви можете додати одне або декілька полів <a href=""@url"">тут</a>"
Required,Обов'язково
Multiple,Множина
Remove,Видалити
"Disabled products will not be available to customers and search engines","Вимкнені товари не будуть доступні для клієнтів і пошукових систем"
"The title will be used on the product page and menu","Назва буде використовуватися на сторінці товару і в меню"
"Optional translation for language %name","Необов'язковий переклад для мови %name"
Data,Дані
"Product class is a set of attributes and options that defines the type of the product","Клас товару - це набір атрибутів і опцій, що визначає тип продукту"
"SKU is an identificator that allows it to be tracked for inventory purposes. Leave empty to generate it automatically","Артикул - це ідентифікатор, який дає змогу відстежувати наявність товару на складі. Залиште поле порожнім, щоб згенерувати автоматично"
"Integer or decimal value","Ціле або десяткове числове значення"
Subtract,Віднімати
"Quantity of the product kept on the premises of the store. If selected ""Subtract"", ordered products will be subtracted from the stock level","Кількість товару в наявності. Якщо вибрано ""Віднімати"", замовлені товари будуть відняті від загального запасу на складі"
"Trademark or manufacturer name identifying the product","Назва виробника або торгівельна марка"
"Catalog category for this product","Категорія в каталогі товарів"
Related,Пов'язані
"Autocomplete field. Select some products to be related to this product","Поле з автоматичним заповненням. Виберіть товари, пов'язані з цим продуктом"
Dimensions,Розміри
"Physical width of the product. Used to calculate shipping cost","Фізична ширина товару. Використовується для підрахування вартості доставки"
"Physical height of the product. Used to calculate shipping cost","Фізична висота товару. Використовується для підрахування вартості доставки"
"Physical length of the product. Used to calculate shipping cost","Фізична довжина товару. Використовується для підрахування вартості доставки"
"Select a unit of measurement to use with the specified width, height and length","Виберіть одиницю вимірювання для використання з вказаними розмірами"
"Physical weight of the product. Used to calculate shipping cost","Фізична вага товару. Використовується для підрахування вартості доставки"
"Select a unit of measurement to use with the specified weight","Виберіть одиницю вимірювання для використання з вказаною вагою"
"Disabled reviews will not be available to customers and search engines","Вимкнені відгуки не будуть доступні для клієнтів і пошукових систем"
"Date when the review was created","Дата, коли був створений відгук"
"Autocomplete field. An E-mail of the person who will be author of the review","Поле з автоматичним заповненням. E-mail користувача, який має бути автором цього відгуку"
"Autocomplete field. Select a product that is related to this review","Поле з автоматичним заповненням. Виберіть товар, що має відношення до цього відгуку"
"Text of the review. HTML tags are not allowed","Текст відгуку. HTML-теги не допускаються"
Missing,Відсутнє
Panel,Панель
Welcome!,"Ласкаво просимо!"
"Here are some extra steps to set up your store","Є ще декілька кроків для налаштування вашого магазину"
"Extend your store by installing extra modules and themes","Додайте додаткові функції шляхом встановлення додаткових модулів"
"Add products to sell","Додайте товари для продажу"
"Add company info, change logo, theme","Додайте відомості про компанію, налаштуйте логотип, тему оформлення"
Skip,Пропустити
"See all","Показати все"
"Toggle navigation","Переключити навігацію"
GPLCart,GPLCart
"Log out",Вийти
"Select language","Виберіть мову"
Version,Версія
Dependencies,Залежності
Disable,Вимкнути
Enable,Увімкнути
"Are you sure? This action may permanently delete some data managed by this module","Ви впевнені? Ця дія може назавжди видалити деякі дані і налаштування, які пов'язані з цим модулем"
Uninstall,Видалити
"Install and enable","Встановити та увімкнути"
Configure,Налаштувати
"Implements hooks","Реалізує хуки"
Requires,Вимагає
invalid,неприпустимий
Error,Помилка
"No modules","Немає модулів"
Clear,Очистити
Message,Повідомлення
Severity,Значимість
Line,Рядок
"Clear cache","Очистити кеш"
Vendor,Постачальник
Directory,Каталог
Module,Модуль
Pattern,Шаблон
Access,Доступ
"Run cron","Запустити cron"
"Abandoned / before checkout","Залишені/перед замовленням"
Amount,Сума
new,нове
"You can add an order for an <a href=""@url"">existing user</a>","Ви можете додати замовлення для <a href=""@url"">існуючого користувача</a>"
Print,Друк
"Are you sure? A new order will be created, this order will be canceled","Ви впевнені? Буде створено нове замовлення, це замовлення буде скасоване"
Clone,Клонувати
"Order comments","Коментарі до замовлення"
Components,Компоненти
"Grand total","Загальний підсумок"
"No products in the cart","У кошику немає товарів"
unavailable,недоступно
"Orders placed","Розміщено замовлень"
Editor,Редактор
"Customer is not notified","Клієнт не був повідомлений"
"Failed to notify customer","Не вдалося повідомити клієнта"
"Customer is notified","Клієнт був повідомлений"
Uknown,Невідомо
"Order ID","ID замовлення"
"Update status","Оновити статус"
"Last modified","Остання зміна"
IP,IP
"User agent","Агент користувача"
"Tracking number","Номер відстеження доставки"
"Disabled rules will not affect store prices","Вимкнені правила не будуть впливати на ціни магазину"
"Select an enabled <a href=""@url"">trigger</a> that applies this rule. Keep in mind that triggers are per store","Виберіть увімкнений <a href=""@url"">тригер</a>, який застосовує це правило. Майте на увазі, що тригери повязані з певним магазином"
"The name will be shown to administrators and customers during checkout","Цю назву буде показано адміністраторам та клієнтами під час оформлення замовлення"
"Unique code you want to associate with this price rule. The code must be specified by a customer during checkout","Унікальний код, що пов'язаний з цим правилом. Цей код має бути вказаний клієнтом на сторінці оформлення замовлення для отримання знижки"
"Numeric value to be added to the original price when the rule is applied. To substract use negative numbers","Числове значення, яке буде додане до початкової ціни, коли застосовується правило. Щоб відняти, вкажіть негативне значення"
Percent,Відсоток
Fixed,Фіксоване
"Select how to apply the price rule value, e.g for discount 10% use ""Percent""","Виберіть спосіб застосування значення правила ціни, наприклад для знижки 10% виберіть ""Відсоток"""
"The price value will be converted according to the selected currency","Значення ціни буде перетворене відповідно до обраної валюти"
"Position of the rule among other enabled rules. Rules with lower weight are applied earlier","Позиція правила серед інших увімкнених правил. Правила з меньшою вагою будуть застосовуватися першими"
"Payment method","Спосіб оплати"
"Gateway transaction ID","ID трансакції шлюза"
"Disabled cities will not be displayed to customers","Вимкнені міста не будуть доступні для клієнтів"
"Native name of the city","Рідна назва цього міста"
"Zones are geographic regions that you ship goods to. Each zone provides shipping rates that apply to customers whose addresses are within that zone.","Зона - це географічний регіон, куди постачаються товари з магазину. Кожна зона забезпечує окремі ставки доставки, що застосовуються до клієнтів, адреси яких знаходяться в межах цієї зони."
"Select your sitewide time zone. This setting can affect price rules and other important things","Виберіть свій часовий пояс по всьому сайту. Цей параметр може вплинути на правила цін і інші важливі речі"
"Cron key","Ключ крон"
"The key is used to run scheduled operations from outside of the site. Leave empty to generate a random key","Цей ключ використовується для запуску регулярних завдань шляхом зовнішніх запитів. Залиште порожнім для генерації випадкового ключа"
"Track errors","Відслідковувати помилки"
"Errors, notices, warnings","Помилки, сповіщення, попередження"
All,Все
"Select which PHP errors should be tracked by logging system","Виберіть, які PHP помилки мають відстежуватися логером"
"Compress JS","Стискати JS"
"If enabled, JS files will be merged into several big files. It reduces number of HTTP queries and improves site loading speed","Якщо ввімкнено, JS файли будуть об'єднані у декілька великих файлів. Це зменшує кількість HTTP-запитів і покращує швидкість завантаження сайту"
"Compress CSS","Стискати CSS"
"If enabled, CSS files will be minified and merged into one big file. It reduces number of HTTP queries and improves site loading speed","Якщо обрано, CSS файли будуть стиснуті і об'єднані у декілька великих файлів. Це зменшує кількість HTTP-запитів і покращує швидкість завантаження сайту"
"Delete cached assets","Видалити кеш JS та CSS файлів"
"Disabled countries will not be available to customers","Вимкнені країни не будуть доступні для клієнтів"
"ISO 3166-2 code, e.g US","Код ISO 3166-2, наприклад US"
"International english name of the country according to ISO 3166-2 standard","Міжнародна англійська назва країни за стандартом ISO 3166-2"
"Local name of the country, e.g 中国","Місцева назва країни, наприклад 中国"
States,Області
Format,Формат
"Default currency is the base currency of the store","Валюта за умовчанням є базовою основною валютою магазину"
"Disabled currencies will not be available to customers","Вимкнені валюти не будуть доступні для клієнтів"
"Exchange rate against default (base) currency. Only numeric positive values","Обмінний курс відносно базової валюти. Тільки числові позитивні значення"
"Official currency name in english","Офіційна назва валюти англійською мовою"
"Template placeholder: %name","Змінна в шаблоні формату: %name"
"Three-letter upper-case code according to ISO 4217 standard, e.g USD","Трилітерний код великими літерами згідно зі стандартом ISO 4217, наприклад USD"
"Sign of the currency, e.g $.","Позначка грошової одиниці, наприклад $."
"Numeric code according to ISO 4217 standard.","Числовий код за стандартом ISO 4217."
"Name of the highest valued currency unit, e.g Dollar.","Назва найбільшої одиниці валюти, наприклад Долар."
"Name of the lowest valued currency unit. Usually it's 1/100 of the major unit, e.g Cent.","Назва найнижчої одиниці валюти. Зазвичай це 1/100 від найбільшої одиниці, наприклад Цент."
"Number of decimal points, usually 2","Кількість десяткових значень, зазвичай 2"
"Numeric value for more granular control over rounding to the final value. Enter 0 if unsure","Числове значення для більш точного контролю при округленні до остаточного значення. Вкажіть 0, якщо не впевнені"
"Thousands separator","Роздільник тисяч"
"Character used to separate thousands, e.g comma.","Символ, що використовується для розділення тисяч, наприклад кома."
"Decimal separator","Роздільник десятків"
"Character used to separate decimals, e.g period","Символ, що використовується для розділення десяткових частин, наприклад крапка"
Template,Шаблон
"Template to format prices in this currency. See the field descriptions for available placeholders. For price value use %price","Шаблон формату цін для цієї валюті. Дивіться описи полів для доступних змінних. Змінна значення ціни - %price"
"In database","У базі даних"
Updated,Оновлено
"Disabled imagestyles will not process images","Відключені стилі зображень не будуть впливати на обробку зображень на сайті"
"Descriptive name of the image style for administrators","Змістовний опис цього стилю для адміністраторів"
"List of actions to be applied from the top to bottom. One action per line. See the legend. For example to make thumbnail 50X50: thumbnail 50,50","Список дій, які повинні застосовуватися зверху до низу. Одна дія на кожному рядку. Див. умовні позначення. Наприклад, щоб зробити мініатюру 50х50: thumbnail 50,50"
Legend,"Умовні позначення"
Key,Ключ
"If selected the language will be considered as default fallback language","Якщо вибрано, ця мова буде встановлена як основна мова сайту"
"Disabled languages will not be available to customers","Вимкнені мови не будуть доступні для клієнтів"
Right-to-left,"Справа наліво"
"Whether the language is written in right-to-left (RTL) script","Чи ця мова має підтримувати написання ""справа наліво"" (RTL)"
"Language code according to ISO 639-1. Culture names also accepted","Мовний код згідно з ISO 639-1. Культурні коди також приймаються"
"International english name of the language according to ISO 639 standard","Міжнародна англійська назва мови за стандартом ISO 639"
"Local name of the language, e.g 中文","Місцева назва мови, наприклад 中文"
"Are you sure? All compiled translations for this language will be re-created, their existing translations will be lost!","Ви впевнені? Всі зкомпільовані переклади для цієї мови будуть повторно створені, їх поточні переклади будуть втрачені назавжди!"
Refresh,Перебудувати
"Disabled states will not be displayed to customers","Вимкнені області не будуть доступні для клієнтів"
"Official name of the state","Офіційна назва області"
"Code or abbreviation used to represent the state in the country, e.g NY for New York","Код або абревіатура, що використовуються для відображення цієї області в країні, наприклад, NY для Нью-Йорка"
Cities,Міста
"Disabled stores will be closed and show maintenance status","Вимкнені магазини будуть показувати оголошення про технічне обслуговування"
"Short name for administrators","Коротка назва для адміністраторів"
"Domain name by which this store can be accessed","Назва домена, за яким цей магазин буде доступний онлайн"
"Specify a subdirectory if the store is not installed in the domain root directory","Вкажіть директорію для файлів системи, якщо сайт встановлений не в корінь домену"
"The default site name","Назва сайту за умовчанням"
"List of e-mails, one per line","Список поштових електроних адрес, по одному на рядок"
Owner,Власник
"Name of the company that owns this store","Назва компанії, якій належить цей магазин"
"An optional text to be used in meta description tag","Необов'язковий текст для використання в тегі meta-description"
Contact,Контакт
"City of the store","Місто магазину"
"Country state of the store","Область або провінція магазину"
"Country of the store","Країна магазину"
"Physical address of the store","Фізична адреса магазина"
"Latitude and longitude of the store, one value per line","Широта та довгота магазину, одне значення в кожному рядку"
"List of phone numbers, one per line","Список телефонів, по одному на рядок"
"List of fax numbers, one per line","Список факсів, по одному на рядок"
"Post code","Поштовий індекс"
"Post code of the store","Поштовий індекс магазину"
Appearance,"Зовнішній вигляд"
"Select a theme module used to display front-end of the store to all devices","Виберіть модуль теми оформлення для відображення зовнішнього інтерфейсу сайту"
"Anonymous checkout","Анонімне оформлення замовлення"
"Whether or not anonymous customers should log in before checkout","Чи має анонімний користувач авторизуватися щоб оформити замовлення"
"Java-Script code without script tags to add on each public, non-admin and non-internal page, e.g Google Analytics tracking code","Код Java-Script без тегів script, який має бути доданий на публічних сторінках, наприклад код Google Analytics"
"Select a <a href=""@url"">collection</a> to be used for banner slideshow on front page","Виберіть <a href=""@url"">колекцію</a> для відображення слайд-шоу банерів на головній сторінці"
"Featured products","Рекомендовані товари"
"Select a <a href=""@url"">collection</a> to be used for list of featured products on front page","Виберіть <a href=""@url"">колекцію</a> для відображення рекомендованих товарів на головній сторінці"
"Select a <a href=""@url"">collection</a> to be used for list of articles/news on front page","Виберіть <a href=""@url"">колекцію</a> для відображення списку новин/статей на головній сторінці"
Logo,Логотип
"The main site logo. Appearance of the image is controlled by the current theme","Основний логотип сайту. Вигляд цього зображення контролюється відповідною темою оформлення"
Favicon,Favicon
"Favicon is a small image that represents your site. Appearance of the image is controlled by the current theme","Favicon - це невелике зображення, яке представляє ваш сайт. Вигляд зображення контролюється відповідною темою оформлення"
"Disabled triggers will be excluded from processing","Вимкнені тригери не будуть спрацьовувати"
"The name will be shown to administrators","Назва для адміністраторів"
"Select a store that is associated with this trigger","Виберіть магазин, з яким пов'язаний цей тригер"
"Position of the trigger among other enabled triggers. Triggers with lower weight are invoked earlier","Позиція тригера серед інших увімкнених тригерів. Тригери з меньшою вагою будуть спрацьовувати раніше"
"Which conditions must be met to invoke the trigger. One condition per line. See the legend. Conditions are checked from the top to bottom. Format: [condition ID][space][operator][space][parameter(s)]","Які умови повинні бути виконані для спрацювання цього тригера. Одна умова на рядок. Дивіться умовні позначення. Умови перевіряються зверху до низу. Формат: [ID умови][пробіл][оператор][пробіл] [параметри]"
Operators,Оператори
Operator,Оператор
"Disabled zones will not be available to users","Вимкнені зони не будуть доступні для користувачів"
"Name for administrators","Назва для адміністраторів"
"Full name","Повне ім'я"
Details,Деталі
"User name, e.g John Smith","Ім'я користувача, наприклад, Петро Гнатів"
"Unique E-mail for this user","Унікальна адреса електроної пошти для цього користувача"
"Password to log in this user","Пароль для авторизації цього користувача"
"Disabled users are not allowed to login","Вимкнуті користувачі не зможуть авторизуватися"
"Roles are sets of permissions that control what users can do and see on the site","Ролі - це набори прав, які контролюють те, що користувачі можуть зробити і побачити на сайті"
"Associate this user with a certain store","Асоціювати цього користувача з певним магазином"
"Add order","Додати замовлення"
Expires,"Термін дії"
"Disabled roles will not be available to users","Вимкнені ролі не будуть доступні для користувачів"
"Descriptive name of the role, e.g Boss, Manager etc","Змістовна назва ролі, наприклад Босс, Менеджер тощо"
"To account page","На сторінку облікового запису"
"A destination that a user is redirected to after logged in","Адреса, на яку користувач буде перенаправлений після того, як авторизувався"
Permissions,Права
"Select/unselect all","Вибрати все"
"Category page","Сторінка категорії"
"Category page (child)","Сторінка категорії (субкатегорія)"
"Product page","Сторінка товару"
"Product catalog (grid)","Каталог товарів (сітка)"
"Product catalog (list)","Каталог товарів (список)"
"Product option","Опція товару"
"File collection (banners)","Колекція файлів (банери)"
"Page collection (news/articles)","Колекція сторінок (новини/статті)"
"Product collection (featured products)","Колекції товарів (рекомендовані товари)"
"Settings have been reset to default values","Параметри були скинуті до значень за умовчанням"
Frontend,"Зовнішній інтерфейс"
"Edit %name settings","Редагувати параметри %name"
"Already in comparison","Вже в порівнянні"
"Already in wishlist","Вже в списку бажань"
"Selected: !combination","Вибрано: !combination"
"Checking availability...","Перевірка доступності..."
"Frontend theme","Тема зовнішнього інтерфейсу"
"View and manage addressbook","Перегляд та керування адресною книгою"
"Edit account details","Редагування облікового запису"
"This account is inactive","Цей обліковий запис неактивний"
Never,Ніколи
"You have no orders yet. <a href=""@url"">Shop now</a>","У вас поки немає замовлень. <a href=""@url"">В магазин</a>"
Delete?,Видалити?
"You have no saved addresses yet","У вас поки немає збережених адрес"
"New password","Новий пароль"
"Existing password","Існуючий пароль"
Comments,Коментарі
"Add to cart","Додати в кошик"
"Add to wishlist","Додати до списку бажань"
Compare,Порівняти
"Shopping cart is empty","Ваш кошик порожній"
Subtotal,"Попередній підсумок"
"Final price will be shown on checkout page","Остаточна ціна буде вказана на сторінці оформлення замовлення"
"Cart / Checkout","Кошик / Зробити замовлення"
"This category has no content","Ця категорія має без вмісту"
"Showing @num of @total","Показано @num з @total"
"Low prices first","Спочатку низькі ціни"
"High prices first","Спочатку високі ціни"
"Title A-Z","Назва A-Z"
"Title Z-A","Назва Z-A"
Go,ОК
"If you want to add a new order for a user, add all needed products to your cart then add an order for the <a href=""@url"">user</a>. Your cart items will be assigned to that user.","Якщо потрібно додати нове замовлення для іншого користувача, додайте всі необхідні товари до свого кошику, потім зробіть замовлення для <a href=""@url""> користувача</a>. Товари з вашого кошику будуть призначено для цього користувача."
"Shopping cart is empty. <a href=""@url"">Shop now</a>","Кошик порожній. <a href=""@url"">В магазин</a>"
"Your browser seems to have Java-Script disabled. You should press ""Update"" button each time you make changes in the form","Схоже ваш браузер не підтримує Java-Script. Ви маєте натискати кнопку ""Оновити"" кожного разу, коли змінюєте значення в полях цієї форми"
Update,Оновити
"Already registered?","Вже зареєстровані?"
"Click to login","Натисніть, щоб увійти"
"Place order now",Замовити
"Log in",Увійти
"Continue as guest","Продовжити як гість"
"My shipping and payment addresses are the same","Мої адреси доставки і оплати співпадають"
"Add address","Додати адресу"
"Get states","Отримати області"
"Get services and rates","Отримати сервіси і тарифи"
"Move to wishlist","Перемістити до списку бажань"
"Enter code","Введіть код"
Apply,Застосувати
"Shipping method","Спосіб доставки"
Unvote,"Відкликати голос"
"@num out of @total stars","@num з @total зірочок"
Facebook,Facebook
Google+,"Google +"
Twitter,Twitter
"Show only difference","Показати лише різницю"
"Nothing to compare","Немає що порівнювати"
"Add more to compare","Додайте більше для порівняння"
"Change password","Змінити пароль"
"Content coming soon...","Вміст скоро буде..."
"There are some issues in your environment","Є деякі проблеми у вашому системному середовищі"
"non-critical issue",некритичне
"critical issue",критичне
error,помилка
"Installation profiles","Профілі установки"
"This distribution can be installed in several ways. Select an installer that fits your needs","Цей дистрибутив може бути встановлений різними способами. Оберіть профіль, який відповідає вашим потребам"
Database,"База даних"
"Name of the database you want to connect to","Назва бази даних, до якої ви хочете підключитися"
"Existing username to access the database","Ім'я існуючого користувача для доступу до бази даних"
"Password to access the database. Can be empty","Пароль для доступу до бази даних. Може бути порожнім"
Site,Сайт
"E-mail for superadmin","E-mail для супер-адміністратора"
"Password for superadmin","Пароль для супер-адміністратора"
"Name of the store","Назва магазина"
"Choose your local timezone","Виберіть ваш місцевий часовий пояс"
"Advanced database settings","Додаткові налаштування бази даних"
"Select your database type from the list of supported PDO drivers","Виберіть тип бази даних зі списку підтримуваних драйверів PDO"
mysql,mysql
sqlite,sqlite
"The port number to use for the connection. The default port number is 3306","Номер порту для підключення до бази даних. Номер порту за умовчанням є 3306"
"The default host name is localhost. If your database should be connected remotely specify here its IP or domain","За умовчанням хост бази даних є localhost. Якщо у вас зовнішня база даних, вкажіть її IP або домен"
Install,Встановити
Help,Допомога
Hello,Вітаємо
"We'll be back soon!","Ми скоро повернемося!"
"Sorry for the inconvenience but we're performing some maintenance at the moment","Вибачте за незручності, але на даний момент ми виконуємо технічне обслуговування сайту"
"Forgot password","Нагадати пароль"
Specs,Характеристики
"This product is disabled","Цей товар вимкнено"
"@num reviews","@num відгук(ів)"
"Be first to review this product","Залиште відгук про цей товар першими"
"Recently viewed","Останні переглянуті"
"@min - @max characters","@min - @max символів"
"No results found. Try another search keyword","Немає результатів. Спробуйте інше ключове слово"
"Products per page","Товарів на сторінці"
"Default view","Вид за замовчуванням"
Grid,Сітка
List,Список
"Sorting field","Поле сортування"
"Sorting direction","Напрямок сортування"
Ascending,"За зростанням"
Descending,"За спаданням"
"Your wishlist is empty. <a href=""@url"">Continue shopping</a>","Ваш список бажань порожній. <a href=""@url"">В магазин</a>"
